month_id,stock_id,outperform_binary,excess_return
2020_01,US001,0,-0.10059341856685178
2020_02,US001,0,-0.005920142198032087
2020_03,US001,1,0.013384306684748992
2020_04,US001,1,0.009597498553836625
2020_05,US001,0,-0.013022709690889755
2020_06,US001,0,-0.016345991923657897
2020_07,US001,0,-0.07006750070111102
2020_08,US001,1,0.056085995758782745
2020_09,US001,0,-0.0009007222154574727
2020_10,US001,1,0.0011356477993123715
2020_11,US001,0,-0.024826248723779462
2020_12,US001,0,-0.02290609243863256
2021_01,US001,1,0.0007892440789483263
2021_02,US001,0,-0.027841153153792132
2021_03,US001,1,0.07364119339661744
2021_04,US001,0,-0.0059170004411597185
2021_05,US001,1,0.028290825238384235
2021_06,US001,0,-0.0397764761987393
2021_07,US001,0,-0.013003656159976958
2021_08,US001,0,-0.0312517098509998
2021_09,US001,0,-0.07197898056641609
2021_10,US001,0,-0.022606853937921285
2021_11,US001,0,-0.017560014119585438
2021_12,US001,1,0.006855050941304942
2022_01,US001,0,-0.028552430635553995
2022_02,US001,0,-0.08522217334537106
2022_03,US001,0,-0.01656892055076676
2022_04,US001,1,0.019723754179728645
2022_05,US001,1,0.043017812102394706
2022_06,US001,0,-0.06929656825002539
2022_07,US001,1,0.038874099476201934
2022_08,US001,0,-0.10348374385028171
2022_09,US001,0,-0.05369260350502295
2022_10,US001,1,0.07148817036301114
2022_11,US001,0,-0.029537902106337534
2022_12,US001,0,-0.01800028656379383
2023_01,US001,0,-0.10708769148779332
2023_02,US001,0,-0.032337986134325265
2023_03,US001,0,-0.05818536975022823
2023_04,US001,1,0.011609320323156218
2023_05,US001,0,-0.10326813459012758
2023_06,US001,1,0.017511815644825
2020_01,US002,0,-0.09765041856685178
2020_02,US002,0,-0.028689142198032085
2020_03,US002,1,0.063066306684749
2020_04,US002,1,0.016413498553836642
2020_05,US002,1,0.06135429030911026
2020_06,US002,0,-0.024807991923657898
2020_07,US002,0,-0.011456500701111021
2020_08,US002,0,-0.018192004241217256
2020_09,US002,1,0.09023127778454253
2020_10,US002,0,-0.020091352200687626
2020_11,US002,0,-0.01945424872377946
2020_12,US002,0,-0.06136809243863256
2021_01,US002,0,-0.005429755921051674
2021_02,US002,1,0.04897584684620787
2021_03,US002,1,0.09840819339661744
2021_04,US002,0,-0.01795600044115972
2021_05,US002,1,0.03048482523838423
2021_06,US002,0,-0.009083476198739301
2021_07,US002,0,-0.02658665615997696
2021_08,US002,1,0.015536290149000199
2021_09,US002,0,-0.13396598056641607
2021_10,US002,1,0.16062514606207873
2021_11,US002,1,0.09832698588041457
2021_12,US002,1,0.046263050941304944
2022_01,US002,0,-0.06601243063555398
2022_02,US002,0,-0.10014617334537107
2022_03,US002,0,-0.08615092055076676
2022_04,US002,0,-0.03585324582027136
2022_05,US002,1,0.030175812102394707
2022_06,US002,0,-0.027757568250025386
2022_07,US002,1,0.08770009947620193
2022_08,US002,0,-0.07646774385028171
2022_09,US002,0,-0.07594460350502297
2022_10,US002,1,0.06878317036301115
2022_11,US002,1,0.06370909789366247
2022_12,US002,0,-0.020754286563793828
2023_01,US002,1,0.1218063085122067
2023_02,US002,0,-0.02695698613432527
2023_03,US002,1,0.046931630249771775
2023_04,US002,0,-0.003131679676843781
2023_05,US002,0,-0.0664641345901276
2023_06,US002,1,0.08085281564482501
2020_01,US003,1,0.023299581433148225
2020_02,US003,0,-0.06941814219803208
2020_03,US003,1,0.12461130668474898
2020_04,US003,1,0.05969849855383663
2020_05,US003,0,-0.028161709690889755
2020_06,US003,0,-0.0329509919236579
2020_07,US003,1,0.06586949929888897
2020_08,US003,1,0.05030699575878274
2020_09,US003,1,0.010455277784542527
2020_10,US003,0,-0.02851135220068763
2020_11,US003,0,-0.08847024872377945
2020_12,US003,0,-0.02389409243863256
2021_01,US003,1,0.12993224407894832
2021_02,US003,0,-0.05894515315379213
2021_03,US003,0,-0.03249980660338257
2021_04,US003,0,-0.024044000441159716
2021_05,US003,0,-0.03712117476161577
2021_06,US003,1,0.043671523801260693
2021_07,US003,1,0.04499934384002304
2021_08,US003,1,0.0231132901490002
2021_09,US003,0,-0.03401198056641609
2021_10,US003,1,0.05825014606207872
2021_11,US003,0,-6.801411958543696e-05
2021_12,US003,1,0.09016605094130495
2022_01,US003,0,-0.042195430635554
2022_02,US003,0,-0.04458917334537106
2022_03,US003,0,-0.03479792055076676
2022_04,US003,1,0.014756754179728646
2022_05,US003,1,0.03439381210239471
2022_06,US003,0,-0.013973568250025381
2022_07,US003,0,-0.05770290052379806
2022_08,US003,0,-0.040115743850281715
2022_09,US003,1,0.0026213964949770435
2022_10,US003,0,-0.03833082963698885
2022_11,US003,1,0.04504209789366247
2022_12,US003,1,0.05429671343620617
2023_01,US003,0,-0.04920869148779332
2023_02,US003,0,-0.06711398613432527
2023_03,US003,1,0.0007786302497717707
2023_04,US003,1,0.10284832032315622
2023_05,US003,0,-0.07067013459012758
2023_06,US003,1,0.016456815644825
2020_01,US004,0,-0.07173841856685177
2020_02,US004,1,0.10718085780196791
2020_03,US004,0,-0.0026876933152510107
2020_04,US004,1,0.015453498553836625
2020_05,US004,1,0.059567290309110246
2020_06,US004,1,0.0499840080763421
2020_07,US004,0,-0.057208500701111026
2020_08,US004,0,-0.026607004241217258
2020_09,US004,0,-0.07164972221545747
2020_10,US004,0,-0.016124352200687628
2020_11,US004,1,0.11659275127622054
2020_12,US004,0,-0.0061930924386325616
2021_01,US004,0,-0.03564975592105168
2021_02,US004,1,0.01515484684620787
2021_03,US004,0,-0.02585780660338257
2021_04,US004,1,0.010085999558840281
2021_05,US004,1,0.0023518252383842317
2021_06,US004,0,-0.0181154761987393
2021_07,US004,1,0.035698343840023045
2021_08,US004,1,0.0163062901490002
2021_09,US004,0,-0.08216198056641609
2021_10,US004,1,0.035750146062078714
2021_11,US004,1,0.022497985880414562
2021_12,US004,1,0.14687405094130493
2022_01,US004,1,0.06185756936444601
2022_02,US004,1,0.08411182665462894
2022_03,US004,1,0.07919807944923324
2022_04,US004,0,-0.03058624582027135
2022_05,US004,1,0.004402812102394706
2022_06,US004,1,0.10042243174997462
2022_07,US004,0,-0.12173790052379807
2022_08,US004,0,-0.03706574385028171
2022_09,US004,1,0.05413539649497704
2022_10,US004,1,0.03362417036301115
2022_11,US004,1,0.06414709789366246
2022_12,US004,1,0.043765713436206166
2023_01,US004,0,-0.13361969148779332
2023_02,US004,1,0.06424001386567474
2023_03,US004,1,0.03848363024977177
2023_04,US004,0,-0.03483667967684378
2023_05,US004,0,-0.07946213459012759
2023_06,US004,0,-0.05723518435517501
2020_01,US005,0,-0.016580418566851773
2020_02,US005,0,-0.06747914219803208
2020_03,US005,1,0.008411306684748987
2020_04,US005,1,0.03183349855383663
2020_05,US005,1,0.03834229030911025
2020_06,US005,1,0.048797008076342095
2020_07,US005,1,0.019238499298888975
2020_08,US005,1,0.03365599575878274
2020_09,US005,0,-0.041042722215457475
2020_10,US005,0,-0.03666935220068763
2020_11,US005,1,0.037491751276220536
2020_12,US005,1,0.012389907561367437
2021_01,US005,0,-0.07291775592105167
2021_02,US005,0,-0.011366153153792132
2021_03,US005,1,0.06459419339661744
2021_04,US005,1,0.01791099955884028
2021_05,US005,0,-0.04153217476161577
2021_06,US005,1,0.023448523801260696
2021_07,US005,1,0.07273134384002304
2021_08,US005,1,0.037184290149000196
2021_09,US005,0,-0.02559398056641609
2021_10,US005,1,0.07643314606207871
2021_11,US005,1,0.01825098588041456
2021_12,US005,1,0.11233105094130494
2022_01,US005,0,-0.104660430635554
2022_02,US005,0,-0.09944017334537106
2022_03,US005,1,0.04523107944923324
2022_04,US005,0,-0.05438324582027136
2022_05,US005,0,-0.007161187897605293
2022_06,US005,0,-0.02297456825002539
2022_07,US005,1,0.03925709947620193
2022_08,US005,0,-0.03375074385028171
2022_09,US005,0,-0.04864760350502296
2022_10,US005,1,0.040885170363011154
2022_11,US005,1,0.013460097893662468
2022_12,US005,0,-0.07776528656379383
2023_01,US005,0,-0.013266691487793317
2023_02,US005,0,-0.02528098613432527
2023_03,US005,1,0.07370363024977176
2023_04,US005,0,-0.005618679676843782
2023_05,US005,1,0.10205886540987241
2023_06,US005,0,-0.04399718435517501
2020_01,US006,1,0.07051258143314823
2020_02,US006,1,0.029596857801967913
2020_03,US006,1,0.021130306684748995
2020_04,US006,1,0.010609498553836638
2020_05,US006,1,0.04211929030911024
2020_06,US006,1,0.10800300807634211
